IPV4_SRC_ADDR,IPV4_DST_ADDR,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,FLOW_DURATION_MILLISECONDS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV
192.168.6.123,192.168.6.225,38522,22,6,92,239,282,4,5,0,30,26,30,0,0,64,64,92,54,40,78,0,0,0,0,0,0,0,0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660063810,1776660063810,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.66,192.168.6.255,57621,57621,17,156,432,0,6,0,150047,0,0,0,150047,0,128,128,86,86,72,72,2.879097882663432,0,0,0,0,0,23.032783061307455,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1776660050724,1776660200771,30001,30016,30009.4,5.770615218501262,0,0,0.0,0.0
192.168.6.123,192.168.6.225,38578,22,6,92,239,282,4,5,1,30,26,30,1,1,64,64,92,54,40,78,239000.0,282000.0,0,0,0,0,1912000.0,2256000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660066270,1776660066271,0,1,0.33333333333333337,0.5773502691896258,0,1,0.25,0.5
192.168.6.123,192.168.6.225,38526,22,6,92,239,282,4,5,1,30,26,30,1,1,64,64,92,54,40,78,239000.0,282000.0,0,0,0,0,1912000.0,2256000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660063825,1776660063826,0,1,0.3333333333333333,0.5773502691896258,0,1,0.25,0.5
192.168.6.123,192.168.6.225,38540,22,6,92,239,282,4,5,2,30,26,30,2,2,64,64,92,54,40,78,119500.0,141000.0,0,0,0,0,956000.0,1128000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660065690,1776660065692,0,1,0.6666666666666666,0.5773502691896258,0,1,0.5,0.5773502691896257
192.168.6.123,192.168.6.225,38568,22,6,92,239,282,4,5,1,30,26,30,1,1,64,64,92,54,40,78,239000.0,282000.0,0,0,0,0,1912000.0,2256000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660066230,1776660066231,0,1,0.3333333333333333,0.5773502691896258,0,1,0.25,0.5
192.168.6.225,192.168.6.123,22,36924,6,92,960,784,12,7,12653,25,25,25,12652,12651,64,64,150,66,52,136,75.87733164717041,61.97138566121255,0,0,0,0,607.0186531773633,495.7710852897004,14,5,0,0,0,532,68,0,0,0,0,0,0,1776660049343,1776660061996,1,3612,1150.1818181818182,1460.5866505060094,2,3613,2108.5,1359.1089360312515
192.168.6.174,224.0.0.251,5353,5353,17,8,972,0,6,0,5000,0,0,0,5000,0,1,1,186,171,157,172,194.4,0,0,0,0,0,1555.2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1776660066601,1776660071601,993,1010,1000.0,7.176350047203649,0,0,0.0,0.0
192.168.6.225,192.168.6.1,42943,5351,17,0,82,92,2,2,1,0,0,0,0,0,64,64,66,44,30,52,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1776660126678,1776660126679,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,192.168.6.1,42943,1900,17,12,122,10919,1,25,51,0,0,0,0,0,64,64,483,136,122,469,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,1776660126678,1776660126729,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,162.248.221.248,41641,3478,17,0,68,60,1,1,237,0,0,0,0,0,50,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126680,1776660126917,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.225,185.34.3.75,41641,3478,17,0,68,60,1,1,337,0,0,0,0,0,43,64,82,74,60,68,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1776660126681,1776660127018,0,0,0.0,0.0,0,0,0.0,0.0
192.168.6.123,192.168.6.225,38436,22,6,92,239,282,4,5,1,30,26,30,1,1,64,64,92,54,40,78,239000.0,282000.0,0,0,0,0,1912000.0,2256000.0,9,0,0,0,0,64240,65160,0,0,0,0,0,0,1776660062018,1776660062019,0,1,0.3333333333333333,0.5773502691896258,0,1,0.25,0.5
fe80::be24:11ff:fee1:4457,ff02::1:2,546,547,17,0,126,0,1,0,0,0,0,0,0,0,254,254,140,140,126,126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1776660089789,1776660089789,0,0,0.0,0.0,0,0,0.0,0.0
